date,close
2024-01-02,10000
2024-01-03,9950
2024-01-04,9900
2024-01-05,9850
2024-01-08,9800
2024-01-09,9750
2024-01-10,9700
2024-01-11,9650
2024-01-12,9600
2024-01-15,9550
2024-01-16,9500
2024-01-17,9450
2024-01-18,9400
2024-01-19,9350
2024-01-22,9300
2024-01-23,9250
2024-01-24,9200
2024-01-25,9150
2024-01-26,9100
2024-01-29,9050
2024-01-30,9200
2024-01-31,9350
2024-02-01,9500
2024-02-02,9650
2024-02-05,9800
2024-02-06,9950
2024-02-07,10100
2024-02-08,10250
2024-02-09,10400
2024-02-12,10550
2024-02-13,10700
2024-02-14,10850
2024-02-15,11000
2024-02-16,11150
2024-02-19,11300
2024-02-20,11450
2024-02-21,11600
2024-02-22,11750
2024-02-23,11900
2024-02-26,12050
2024-02-27,11900
2024-02-28,11750
2024-02-29,11600
2024-03-01,11450
2024-03-04,11300
2024-03-05,11150
2024-03-06,11000
2024-03-07,10850
2024-03-08,10700
2024-03-11,10550
2024-03-12,10400
2024-03-13,10250
2024-03-14,10100
2024-03-15,9950
2024-03-18,9800
2024-03-19,9650
2024-03-20,9500
2024-03-21,9350
2024-03-22,9200
2024-03-25,9050
